,number,value,datetime_start,datetime_complete,duration,params_Adadelta_eps,params_Adadelta_lr,params_Adadelta_rho,params_Adagrad_lr,params_Adagrad_lr_decay,params_Adagrad_weight_decay,params_Adam_beta1,params_Adam_beta2,params_Adam_eps,params_Adam_lr,params_Adam_weight_decay,params_Rprop_eta1,params_Rprop_eta2,params_Rprop_lr,params_Rprop_step_size1,params_Rprop_step_size2,params_ann_type,params_do_regularization,params_dropout_rate0,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,params_dropout_rate4,params_dropout_rate5,params_eps_batch_norm0,params_eps_batch_norm1,params_eps_batch_norm2,params_eps_batch_norm3,params_eps_batch_norm4,params_eps_batch_norm5,params_hidden_size_lstm_cell0,params_hidden_size_lstm_cell1,params_hidden_size_lstm_cell2,params_hidden_size_lstm_cell3,params_hidden_size_lstm_cell4,params_hidden_size_lstm_cell5,params_lin_act,params_loss_name,params_momentum__batch_norma0,params_momentum__batch_norma1,params_momentum__batch_norma2,params_momentum__batch_norma3,params_momentum__batch_norma4,params_momentum__batch_norma5,params_number_of_hidden_stacks,params_optimizer_name,params_out_lin0,params_out_lin1,params_out_lin2,params_out_lin3,params_out_lin4,params_out_lin5,params_use_default_optimizer_args,params_use_normalization_layer,state
24,24,,2022-08-23 10:58:47.919163,2022-08-23 10:59:46.465377,0 days 00:00:58.546214,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,,,,,,,MSELoss,,,,,,,1,Adagrad,,,,,,,True,,PRUNED
25,25,,2022-08-23 10:59:46.465951,2022-08-23 11:01:43.771734,0 days 00:01:57.305783,,,,,,,,,,,,0.5134401873028829,1.2119464479293622,0.06772227252409138,4.015971306508796e-05,1.39088867418754,fnn,True,,,,,,,3.4488257506085234e-05,7.362122609806313e-05,6.877381140411688e-05,9.395453542798231e-05,8.813858557435507e-05,8.95051334017682e-05,,,,,,,GELU,GaussianNLLLoss,0.08691650133783782,0.16369365652974494,0.09962696474344471,0.05440621572104159,0.05218696874593283,0.07202435207005875,6,Rprop,16.0,32.0,256.0,16.0,128.0,512.0,False,True,PRUNED
26,26,,2022-08-23 11:01:43.772445,2022-08-23 11:02:43.797124,0 days 00:01:00.024679,,,,0.031326322451826545,0.027208583051910186,0.0007978784513865049,,,,,,,,,,,fnn,True,,,,,,,7.410642151335696e-05,2.8519059725730108e-05,1.2064270066974113e-06,,,,,,,,,,ELU,HuberLoss,0.15397614834157716,0.09301046935711785,0.19286179203893636,,,,3,Adagrad,64.0,128.0,64.0,,,,False,True,PRUNED
27,27,,2022-08-23 11:02:43.797828,2022-08-23 11:04:04.953862,0 days 00:01:21.156034,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,True,,PRUNED
28,28,,2022-08-23 11:04:04.954560,2022-08-23 11:05:25.263272,0 days 00:01:20.308712,,,,,,,,,,,,0.5394613019420296,1.2039310679340247,0.06574061311127422,2.210693734787002e-05,1.1266657686330923,fnn,True,0.02,0.01,0.04,0.04,0.64,,,,,,,,,,,,,,Mish,GaussianNLLLoss,,,,,,,5,Rprop,32.0,32.0,256.0,16.0,128.0,,False,False,PRUNED
29,29,,2022-08-23 11:05:25.263893,2022-08-23 11:06:32.566040,0 days 00:01:07.302147,,,,,,,0.8509504283809125,0.991312449053805,9.629965516739783e-08,0.09419418110746478,0.0003153770802574762,,,,,,fnn,True,,,,,,,7.508299692156445e-05,3.8342347279892675e-05,3.318467105179944e-05,,,,,,,,,,CELU,HuberLoss,0.14382251621084044,0.1000877093454344,0.1896760241692172,,,,3,Adam,512.0,512.0,64.0,,,,False,True,PRUNED
30,30,,2022-08-23 11:06:32.566683,2022-08-23 11:07:53.805062,0 days 00:01:21.238379,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,True,,PRUNED
31,31,,2022-08-23 11:07:53.805738,2022-08-23 11:10:09.208767,0 days 00:02:15.403029,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,128.0,64.0,16.0,32.0,16.0,,,MSELoss,,,,,,,5,Adadelta,,,,,,,True,,PRUNED
32,32,,2022-08-23 11:10:09.209440,2022-08-23 11:10:37.536787,0 days 00:00:28.327347,,,,,,,0.8540105956430857,0.9949401007715469,9.907012669176683e-08,0.09296480951885616,0.00028232515871903124,,,,,,fnn,True,0.02,0.01,0.04,,,,,,,,,,,,,,,,Mish,GaussianNLLLoss,,,,,,,3,Adam,32.0,512.0,64.0,,,,False,False,FAIL
33,33,,2022-08-23 11:10:37.537393,2022-08-23 11:11:05.727144,0 days 00:00:28.189751,,,,,,,0.8583999811803048,0.9931482358688151,9.335895385407822e-08,0.09571907880662135,0.00028896991885551916,,,,,,fnn,True,0.02,0.01,0.04,,,,,,,,,,,,,,,,CELU,GaussianNLLLoss,,,,,,,3,Adam,32.0,512.0,64.0,,,,False,False,FAIL
34,34,,2022-08-23 11:11:05.727837,2022-08-23 11:11:18.781009,0 days 00:00:13.053172,,,,,,,0.8521683290636556,0.9932868590905705,9.526339130089135e-08,0.09964541436028765,0.00031017401546739047,,,,,,fnn,True,0.02,0.01,0.04,,,,,,,,,,,,,,,,CELU,GaussianNLLLoss,,,,,,,3,Adam,32.0,512.0,64.0,,,,False,False,FAIL
35,35,,2022-08-23 11:11:18.781597,2022-08-23 11:11:32.971835,0 days 00:00:14.190238,,,,,,,0.855086263817272,0.9936275812896829,9.550401158571739e-08,0.09989553912177446,0.00027264521856110527,,,,,,fnn,True,0.02,0.01,0.04,,,,,,,,,,,,,,,,Mish,GaussianNLLLoss,,,,,,,3,Adam,32.0,512.0,64.0,,,,False,False,FAIL
36,36,,2022-08-23 11:11:32.972408,2022-08-23 11:11:48.365029,0 days 00:00:15.392621,,,,,,,0.8524874726214529,0.9918537651668097,9.694197656758434e-08,0.09925906641528418,0.0002543676212071949,,,,,,fnn,True,0.02,0.01,0.04,,,,,,,,,,,,,,,,CELU,GaussianNLLLoss,,,,,,,3,Adam,32.0,512.0,64.0,,,,False,False,PRUNED
37,37,,2022-08-23 11:11:48.365618,2022-08-23 11:13:08.836088,0 days 00:01:20.470470,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,256.0,16.0,,,,,,MSELoss,,,,,,,2,Adam,,,,,,,True,,PRUNED
38,38,,2022-08-23 11:13:08.836794,2022-08-23 11:14:38.703832,0 days 00:01:29.867038,,,,,,,,,,,,0.4001232898000739,1.2942296150425219,0.024971535605368515,6.948288899517879e-05,21.196284213501876,fnn,True,,,,,,,3.685666043637136e-05,6.963347863957928e-05,7.545499498533383e-05,5.40818003584338e-05,,,,,,,,,Tanh,HuberLoss,0.18725535802088525,0.16771408744124638,0.13300658770461804,0.10192419548188648,,,4,Rprop,128.0,64.0,16.0,256.0,,,False,True,PRUNED
39,39,-0.0007168054580688477,2022-08-23 11:14:38.704456,2022-08-23 11:16:55.761639,0 days 00:02:17.057183,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,256.0,128.0,16.0,,,,MSELoss,,,,,,,4,Adagrad,,,,,,,True,,COMPLETE
40,40,,2022-08-23 11:16:55.763260,2022-08-23 11:19:10.512977,0 days 00:02:14.749717,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,256.0,128.0,16.0,,,,MSELoss,,,,,,,4,Rprop,,,,,,,True,,PRUNED
41,41,,2022-08-23 11:19:10.513639,2022-08-23 11:20:31.304362,0 days 00:01:20.790723,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,256.0,16.0,,,,,,MSELoss,,,,,,,2,Adam,,,,,,,True,,PRUNED
42,42,,2022-08-23 11:20:31.304990,2022-08-23 11:21:29.988054,0 days 00:00:58.683064,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,,,,,,,MSELoss,,,,,,,1,Adagrad,,,,,,,True,,PRUNED
43,43,,2022-08-23 11:21:29.988674,2022-08-23 11:23:27.955033,0 days 00:01:57.966359,,,,,,,,,,,,0.4511871862843799,1.1525313642882797,0.020289508368944376,2.1008627717761843e-05,10.682029098894995,fnn,True,,,,,,,2.7576216786203316e-05,8.230564120908223e-05,7.90371014221202e-05,7.185374423956922e-05,2.4917428710603617e-06,3.7032956096778443e-06,,,,,,,Softplus,GaussianNLLLoss,0.0930876329996277,0.1785152062509247,0.05887228523675661,0.16976271866066017,0.17816852775522513,0.19966069044235008,6,Rprop,16.0,256.0,1024.0,64.0,32.0,16.0,False,True,PRUNED
44,44,,2022-08-23 11:23:27.955794,2022-08-23 11:24:46.974062,0 days 00:01:19.018268,,,,0.04263117115131415,0.06947009752296049,0.0006062877383639636,,,,,,,,,,,fnn,True,,,,,,,4.602975473826644e-05,5.659987717314775e-05,8.605889061533554e-05,7.239966476917552e-05,4.936963201309658e-05,,,,,,,,SELU,GaussianNLLLoss,0.060941606370732024,0.14723802064000194,0.09112286533917245,0.14228434321716277,0.1214732856781506,,5,Adagrad,512.0,1024.0,32.0,128.0,64.0,,False,True,PRUNED
45,45,,2022-08-23 11:24:46.974708,2022-08-23 11:26:39.966903,0 days 00:01:52.992195,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,512.0,256.0,128.0,256.0,,,,MSELoss,,,,,,,4,Adagrad,,,,,,,True,,PRUNED
46,46,0.0028144121170043945,2022-08-23 11:26:39.967441,2022-08-23 11:28:59.757286,0 days 00:02:19.789845,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,256.0,512.0,16.0,,,,HuberLoss,,,,,,,4,Adagrad,,,,,,,True,,COMPLETE
47,47,,2022-08-23 11:28:59.758961,2022-08-23 11:30:53.118317,0 days 00:01:53.359356,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,512.0,256.0,512.0,,,,HuberLoss,,,,,,,4,Adagrad,,,,,,,True,,PRUNED
48,48,,2022-08-23 11:30:53.118909,2022-08-23 11:33:32.684691,0 days 00:02:39.565782,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,256.0,512.0,16.0,256.0,,,HuberLoss,,,,,,,5,Rprop,,,,,,,True,,PRUNED
49,49,,2022-08-23 11:33:32.685312,2022-08-23 11:34:37.325667,0 days 00:01:04.640355,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,GELU,GaussianNLLLoss,,,,,,,6,Adagrad,1024.0,32.0,512.0,32.0,128.0,512.0,True,,PRUNED
50,50,,2022-08-23 11:34:37.326096,2022-08-23 11:35:35.713022,0 days 00:00:58.386926,,,,0.028586981315538038,0.06233242177327103,0.00035116577838862305,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,5,Adagrad,16.0,32.0,256.0,1024.0,128.0,,False,,PRUNED
51,51,,2022-08-23 11:35:35.713662,2022-08-23 11:37:52.890103,0 days 00:02:17.176441,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,256.0,512.0,16.0,,,,HuberLoss,,,,,,,4,Rprop,,,,,,,True,,PRUNED
52,52,,2022-08-23 11:37:52.890785,2022-08-23 11:38:45.545308,0 days 00:00:52.654523,,,,0.032382676752660954,0.031190960457403445,0.0007494798117950592,,,,,,,,,,,fnn,True,0.01,0.04,0.16,,,,,,,,,,,,,,,,ELU,HuberLoss,,,,,,,3,Adagrad,64.0,128.0,64.0,,,,False,False,PRUNED
53,53,,2022-08-23 11:38:45.545721,2022-08-23 11:40:07.412562,0 days 00:01:21.866841,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,True,,PRUNED
54,54,,2022-08-23 11:40:07.413179,2022-08-23 11:41:50.425268,0 days 00:01:43.012089,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,512.0,256.0,512.0,,,,,MSELoss,,,,,,,3,Adadelta,,,,,,,True,,PRUNED
55,55,,2022-08-23 11:41:50.425937,2022-08-23 11:42:47.416172,0 days 00:00:56.990235,,,,,,,0.8897374415899232,0.9811084862388971,5.845108318068763e-08,0.0635440400724604,0.0004745353876505181,,,,,,fnn,True,0.32,0.08,0.08,,,,,,,,,,,,,,,,Mish,HuberLoss,,,,,,,3,Adam,32.0,512.0,64.0,,,,False,False,PRUNED
56,56,,2022-08-23 11:42:47.416811,2022-08-23 11:42:59.545244,0 days 00:00:12.128433,,,,,,,0.8858290853947056,0.9823474582401618,6.370401827952943e-08,0.06261984596684703,0.00048382396570723145,,,,,,fnn,True,0.64,0.16,0.01,,,,,,,,,,,,,,,,CELU,HuberLoss,,,,,,,3,Adam,512.0,512.0,256.0,,,,False,False,FAIL
57,57,,2022-08-23 11:42:59.545842,2022-08-23 11:43:42.507640,0 days 00:00:42.961798,,,,,,,0.8871629466724826,0.9794358820049582,6.423888505532102e-08,0.06260376617384267,0.00047320831113357764,,,,,,fnn,True,0.64,0.16,0.01,,,,,,,,,,,,,,,,Mish,HuberLoss,,,,,,,3,Adam,512.0,512.0,256.0,,,,False,False,PRUNED
58,58,,2022-08-23 11:43:42.508355,2022-08-23 11:45:30.655664,0 days 00:01:48.147309,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,128.0,1024.0,32.0,,,,,MSELoss,,,,,,,3,Adadelta,,,,,,,True,,PRUNED
59,59,,2022-08-23 11:45:30.656290,2022-08-23 11:47:29.801272,0 days 00:01:59.144982,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,32.0,128.0,64.0,,,,HuberLoss,,,,,,,4,Adadelta,,,,,,,True,,PRUNED
60,60,,2022-08-23 11:47:29.801889,2022-08-23 11:49:46.485931,0 days 00:02:16.684042,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,128.0,64.0,16.0,32.0,16.0,,,MSELoss,,,,,,,5,Adadelta,,,,,,,True,,PRUNED
61,61,,2022-08-23 11:49:46.486645,2022-08-23 11:51:28.368252,0 days 00:01:41.881607,,,,,,,0.9023706907406772,0.9751538006232002,5.080367632384594e-08,0.05485851648694565,0.0005759895565027351,,,,,,lstm,False,,,,,,,,,,,,,16.0,128.0,64.0,,,,,HuberLoss,,,,,,,3,Adam,,,,,,,False,,PRUNED
62,62,,2022-08-23 11:51:28.368860,2022-08-23 11:52:29.842314,0 days 00:01:01.473454,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,CELU,GaussianNLLLoss,,,,,,,5,Adagrad,32.0,16.0,64.0,512.0,512.0,,True,,PRUNED
63,63,,2022-08-23 11:52:29.842972,2022-08-23 11:54:24.902264,0 days 00:01:55.059292,,,,0.06688816863247618,0.0900045287906548,0.00011780848191489526,,,,,,,,,,,lstm,False,,,,,,,,,,,,,128.0,256.0,1024.0,32.0,,,,MSELoss,,,,,,,4,Adagrad,,,,,,,False,,PRUNED
64,64,,2022-08-23 11:54:24.902901,2022-08-23 11:55:16.417775,0 days 00:00:51.514874,,,,,,,,,,,,,,,,,fnn,True,0.02,0.01,,,,,,,,,,,,,,,,,CELU,MSELoss,,,,,,,2,Adam,256.0,256.0,,,,,True,False,PRUNED
65,65,,2022-08-23 11:55:16.418468,2022-08-23 11:57:21.998705,0 days 00:02:05.580237,,,,,,,0.8754707809253869,0.9909435938586036,7.996980309759349e-08,0.09882773385017599,0.00011656337786190678,,,,,,lstm,False,,,,,,,,,,,,,256.0,16.0,32.0,128.0,,,,GaussianNLLLoss,,,,,,,4,Adam,,,,,,,False,,PRUNED
66,66,,2022-08-23 11:57:21.999405,2022-08-23 11:59:37.440311,0 days 00:02:15.440906,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,256.0,16.0,128.0,16.0,,,,MSELoss,,,,,,,4,Rprop,,,,,,,True,,PRUNED
67,67,,2022-08-23 11:59:37.440917,2022-08-23 12:01:52.894977,0 days 00:02:15.454060,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,256.0,128.0,16.0,,,,MSELoss,,,,,,,4,Rprop,,,,,,,True,,PRUNED
68,68,,2022-08-23 12:01:52.895612,2022-08-23 12:04:08.105431,0 days 00:02:15.209819,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,256.0,128.0,16.0,,,,MSELoss,,,,,,,4,Rprop,,,,,,,True,,PRUNED
69,69,,2022-08-23 12:04:08.106048,2022-08-23 12:06:25.131487,0 days 00:02:17.025439,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,256.0,16.0,512.0,16.0,,,,MSELoss,,,,,,,4,Rprop,,,,,,,True,,PRUNED
70,70,,2022-08-23 12:06:25.132225,2022-08-23 12:07:23.766440,0 days 00:00:58.634215,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,16.0,,,,,,,MSELoss,,,,,,,1,Adagrad,,,,,,,True,,PRUNED
