,number,value,datetime_start,datetime_complete,duration,params_Adadelta_eps,params_Adadelta_lr,params_Adadelta_rho,params_Adagrad_lr,params_Adagrad_lr_decay,params_Adagrad_weight_decay,params_Adam_beta1,params_Adam_beta2,params_Adam_eps,params_Adam_lr,params_Adam_weight_decay,params_Rprop_eta1,params_Rprop_eta2,params_Rprop_lr,params_Rprop_step_size1,params_Rprop_step_size2,params_ann_type,params_do_regularization,params_dropout_rate0,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,params_dropout_rate4,params_dropout_rate5,params_eps_batch_norm0,params_eps_batch_norm1,params_eps_batch_norm2,params_eps_batch_norm3,params_eps_batch_norm4,params_eps_batch_norm5,params_hidden_size_lstm_cell0,params_hidden_size_lstm_cell1,params_hidden_size_lstm_cell2,params_hidden_size_lstm_cell3,params_hidden_size_lstm_cell4,params_hidden_size_lstm_cell5,params_lin_act,params_loss_name,params_momentum__batch_norma0,params_momentum__batch_norma1,params_momentum__batch_norma2,params_momentum__batch_norma3,params_momentum__batch_norma4,params_momentum__batch_norma5,params_number_of_hidden_stacks,params_optimizer_name,params_out_lin0,params_out_lin1,params_out_lin2,params_out_lin3,params_out_lin4,params_out_lin5,params_use_default_optimizer_args,params_use_normalization_layer,state
14,14,,2022-08-23 08:51:25.998912,2022-08-23 08:52:42.520627,0 days 00:01:16.521715,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,128.0,,,,,,HuberLoss,,,,,,,2,Adagrad,,,,,,,True,,PRUNED
15,15,,2022-08-23 08:52:42.521270,2022-08-23 08:54:50.202239,0 days 00:02:07.680969,,,,,,,,,,,,,,,,,lstm,True,0.16,0.01,0.08,0.64,,,,,,,,,64.0,32.0,64.0,32.0,,,,MSELoss,,,,,,,4,Adadelta,,,,,,,True,False,PRUNED
16,16,,2022-08-23 08:54:50.202849,2022-08-23 08:56:42.911839,0 days 00:01:52.708990,,,,,,,,,,,,0.4004579642207923,1.288762359449615,0.09853387304235542,9.486899014879982e-05,5.7687615927223845,lstm,False,,,,,,,,,,,,,16.0,64.0,128.0,,,,,HuberLoss,,,,,,,3,Rprop,,,,,,,False,,PRUNED
17,17,,2022-08-23 08:56:42.912552,2022-08-23 08:57:56.137745,0 days 00:01:13.225193,,,,,,,,,,,,,,,,,lstm,True,,,,,,,9.317875460908055e-05,,,,,,128.0,,,,,,,HuberLoss,0.06476978366759889,,,,,,1,Adam,,,,,,,True,True,PRUNED
18,18,,2022-08-23 08:57:56.138311,2022-08-23 09:00:26.501000,0 days 00:02:30.362689,,,,0.0026318282417048117,0.09461966857691467,0.00021895815733397365,,,,,,,,,,,lstm,False,,,,,,,,,,,,,256.0,512.0,32.0,1024.0,32.0,512.0,,MSELoss,,,,,,,6,Adagrad,,,,,,,False,,PRUNED
19,19,,2022-08-23 09:00:26.501617,2022-08-23 09:03:09.837517,0 days 00:02:43.335900,,,,,,,,,,,,,,,,,lstm,True,0.08,0.02,0.01,0.08,0.01,,,,,,,,1024.0,128.0,512.0,256.0,64.0,,,GaussianNLLLoss,,,,,,,5,Adadelta,,,,,,,True,False,PRUNED
20,20,,2022-08-23 09:03:09.838076,2022-08-23 09:04:59.820486,0 days 00:01:49.982410,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,1024.0,32.0,16.0,,,,HuberLoss,,,,,,,4,Adagrad,,,,,,,True,,PRUNED
21,21,,2022-08-23 09:04:59.821034,2022-08-23 09:05:51.012424,0 days 00:00:51.191390,,,,0.0586430570849341,0.016040216639602096,0.0006455053425572066,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,3,Adagrad,64.0,16.0,1024.0,,,,False,,PRUNED
22,22,,2022-08-23 09:05:51.013083,2022-08-23 09:06:03.839160,0 days 00:00:12.826077,,,,0.06550362345274431,0.05004905688585329,0.00027247866009196323,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SELU,MSELoss,,,,,,,3,Adagrad,64.0,32.0,256.0,,,,False,,PRUNED
23,23,,2022-08-23 09:06:03.839740,2022-08-23 09:06:51.391167,0 days 00:00:47.551427,,,,0.03199458153501424,0.0038782502601737295,0.0009404491963042401,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,MSELoss,,,,,,,2,Adagrad,32.0,256.0,,,,,False,,PRUNED
