,number,value,datetime_start,datetime_complete,duration,params_Adadelta_eps,params_Adadelta_lr,params_Adadelta_rho,params_Adagrad_lr,params_Adagrad_lr_decay,params_Adagrad_weight_decay,params_Adam_beta1,params_Adam_beta2,params_Adam_eps,params_Adam_lr,params_Adam_weight_decay,params_Rprop_eta1,params_Rprop_eta2,params_Rprop_lr,params_Rprop_step_size1,params_Rprop_step_size2,params_ann_type,params_do_regularization,params_dropout_rate0,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,params_dropout_rate4,params_dropout_rate5,params_eps_batch_norm0,params_eps_batch_norm1,params_eps_batch_norm2,params_eps_batch_norm3,params_eps_batch_norm4,params_eps_batch_norm5,params_hidden_size_lstm_cell0,params_hidden_size_lstm_cell1,params_hidden_size_lstm_cell2,params_hidden_size_lstm_cell3,params_hidden_size_lstm_cell4,params_hidden_size_lstm_cell5,params_lin_act,params_loss_name,params_momentum__batch_norma0,params_momentum__batch_norma1,params_momentum__batch_norma2,params_momentum__batch_norma3,params_momentum__batch_norma4,params_momentum__batch_norma5,params_number_of_hidden_stacks,params_optimizer_name,params_out_lin0,params_out_lin1,params_out_lin2,params_out_lin3,params_out_lin4,params_out_lin5,params_use_default_optimizer_args,params_use_normalization_layer,state
0,0,-0.03416764736175537,2022-08-23 06:33:56.699599,2022-08-23 06:35:21.336772,0 days 00:01:24.637173,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,5,Adam,256.0,16.0,256.0,256.0,512.0,,True,,COMPLETE
1,1,,2022-08-23 06:35:21.337939,2022-08-23 06:36:27.255149,0 days 00:01:05.917210,,,,,,,,,,,,,,,,,fnn,True,0.64,0.16,0.04,0.08,0.16,,,,,,,,,,,,,,ELU,MSELoss,,,,,,,5,Adadelta,128.0,32.0,64.0,64.0,32.0,,True,False,PRUNED
2,2,,2022-08-23 06:36:27.255773,2022-08-23 06:37:46.381371,0 days 00:01:19.125598,,,,,,,0.9369005043358392,0.9956871702660772,7.392900808946198e-08,0.06642412664081401,0.0008594797513000105,,,,,,lstm,True,,,,,,,4.936078018479282e-05,,,,,,16.0,,,,,,,GaussianNLLLoss,0.0773234169299347,,,,,,1,Adam,,,,,,,False,True,PRUNED
3,3,-0.0013009309768676758,2022-08-23 06:37:46.382008,2022-08-23 06:41:13.625841,0 days 00:03:27.243833,,,,,,,,,,,,,,,,,lstm,True,0.64,0.08,0.32,0.64,,,,,,,,,64.0,16.0,1024.0,1024.0,,,,MSELoss,,,,,,,4,Adagrad,,,,,,,True,False,COMPLETE
4,4,,2022-08-23 06:41:13.627391,2022-08-23 06:43:40.668468,0 days 00:02:27.041077,,,,,,,,,,,,0.5582583988712253,1.2766849716878963,0.07678798162088603,7.540847992641112e-05,33.80469230518586,lstm,False,,,,,,,,,,,,,128.0,512.0,1024.0,,,,,MSELoss,,,,,,,3,Rprop,,,,,,,False,,PRUNED
5,5,,2022-08-23 06:43:40.669092,2022-08-23 06:44:50.221182,0 days 00:01:09.552090,,,,,,,,,,,,,,,,,fnn,True,0.16,0.01,0.64,0.02,0.02,,,,,,,,,,,,,,SiLU,GaussianNLLLoss,,,,,,,5,Adadelta,64.0,16.0,32.0,16.0,16.0,,True,False,PRUNED
6,6,,2022-08-23 06:44:50.221767,2022-08-23 06:45:03.082145,0 days 00:00:12.860378,,,,,,,,,,,,0.42661289151009213,1.2665979283014828,0.06498525939574713,3.6408849926485714e-06,44.599652811326486,fnn,False,,,,,,,,,,,,,,,,,,,GELU,MSELoss,,,,,,,1,Rprop,64.0,,,,,,False,,PRUNED
7,7,,2022-08-23 06:45:03.082718,2022-08-23 06:46:07.105725,0 days 00:01:04.023007,,,,,,,,,,,,,,,,,lstm,True,0.32,,,,,,,,,,,,64.0,,,,,,,MSELoss,,,,,,,1,Adam,,,,,,,True,False,PRUNED
8,8,,2022-08-23 06:46:07.106171,2022-08-23 06:47:31.844507,0 days 00:01:24.738336,,,,,,,,,,,,,,,,,fnn,True,,,,,,,9.967768060908186e-05,7.280591599027752e-05,8.331900268729663e-06,5.603984482478961e-05,8.132277649950538e-05,,,,,,,,Tanh,GaussianNLLLoss,0.17204052278175905,0.10591760312466904,0.12776041609958105,0.11442972466055457,0.18868625013028395,,5,Adam,64.0,256.0,64.0,512.0,128.0,,True,True,PRUNED
9,9,0.0013232231140136719,2022-08-23 06:47:31.845100,2022-08-23 06:48:46.989714,0 days 00:01:15.144614,6.419133283657598e-06,0.9071795640445032,0.5001537089090117,,,,,,,,,,,,,,fnn,True,0.64,0.02,0.04,0.02,,,,,,,,,,,,,,,SiLU,MSELoss,,,,,,,4,Adadelta,16.0,1024.0,128.0,32.0,,,False,False,COMPLETE
10,10,,2022-08-23 06:48:46.991513,2022-08-23 06:49:40.546253,0 days 00:00:53.554740,6.740927373089354e-06,0.9532534525160448,0.4987821296672107,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SELU,HuberLoss,,,,,,,3,Adadelta,16.0,1024.0,128.0,,,,False,,PRUNED
11,11,,2022-08-23 06:49:40.546868,2022-08-23 06:51:48.808101,0 days 00:02:08.261233,,,,0.07355146066953552,0.07010688129975857,0.0005885014532030303,,,,,,,,,,,lstm,True,0.64,0.08,0.32,0.64,,,,,,,,,32.0,16.0,512.0,1024.0,,,,MSELoss,,,,,,,4,Adagrad,,,,,,,False,False,PRUNED
12,12,,2022-08-23 06:51:48.808606,2022-08-23 06:54:02.412037,0 days 00:02:13.603431,,,,,,,,,,,,,,,,,lstm,True,0.64,0.02,0.32,0.02,,,,,,,,,64.0,256.0,1024.0,512.0,,,,MSELoss,,,,,,,4,Adagrad,,,,,,,True,False,PRUNED
13,13,,2022-08-23 06:54:02.412677,2022-08-23 06:57:33.668311,0 days 00:03:31.255634,,,,0.0031372130845022245,0.005016668076288623,0.00010954459048031768,,,,,,,,,,,lstm,True,0.04,0.08,0.04,0.01,0.32,0.04,,,,,,,512.0,32.0,16.0,256.0,1024.0,1024.0,,MSELoss,,,,,,,6,Adagrad,,,,,,,False,False,PRUNED
