,number,value,datetime_start,datetime_complete,duration,params_Adadelta_eps,params_Adadelta_lr,params_Adadelta_rho,params_Adagrad_lr,params_Adagrad_lr_decay,params_Adagrad_weight_decay,params_Adam_beta1,params_Adam_beta2,params_Adam_eps,params_Adam_lr,params_Adam_weight_decay,params_Rprop_eta1,params_Rprop_eta2,params_Rprop_lr,params_Rprop_step_size1,params_Rprop_step_size2,params_ann_type,params_do_regularization,params_dropout_rate0,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,params_dropout_rate4,params_dropout_rate5,params_eps_batch_norm0,params_eps_batch_norm1,params_eps_batch_norm2,params_eps_batch_norm3,params_eps_batch_norm4,params_eps_batch_norm5,params_hidden_size_lstm_cell0,params_hidden_size_lstm_cell1,params_hidden_size_lstm_cell2,params_hidden_size_lstm_cell3,params_hidden_size_lstm_cell4,params_hidden_size_lstm_cell5,params_lin_act,params_loss_name,params_momentum__batch_norma0,params_momentum__batch_norma1,params_momentum__batch_norma2,params_momentum__batch_norma3,params_momentum__batch_norma4,params_momentum__batch_norma5,params_number_of_hidden_stacks,params_optimizer_name,params_out_lin0,params_out_lin1,params_out_lin2,params_out_lin3,params_out_lin4,params_out_lin5,params_use_default_optimizer_args,params_use_normalization_layer,state
14,14,,2022-08-23 06:57:33.669083,2022-08-23 06:59:11.365997,0 days 00:01:37.696914,2.1433782903722196e-06,0.7477305481239012,0.906987919162599,,,,,,,,,,,,,,lstm,True,0.08,0.64,,,,,,,,,,,1024.0,16.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,False,False,PRUNED
15,15,,2022-08-23 06:59:11.366621,2022-08-23 07:00:09.642293,0 days 00:00:58.275672,,,,,,,,,,,,,,,,,fnn,True,,,,,,,5.571704051767954e-06,1.8288284353956314e-06,9.68973373497042e-05,,,,,,,,,,CELU,HuberLoss,0.194353703783323,0.1919629914247094,0.19849117020284268,,,,3,Adagrad,32.0,64.0,128.0,,,,True,True,PRUNED
16,16,,2022-08-23 07:00:09.642863,2022-08-23 07:01:09.887042,0 days 00:01:00.244179,,,,,,,,,,,,,,,,,fnn,True,0.01,0.04,0.01,0.04,,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,4,Adadelta,16.0,128.0,512.0,32.0,,,True,False,PRUNED
17,17,,2022-08-23 07:01:09.887600,2022-08-23 07:03:51.881907,0 days 00:02:41.994307,,,,0.09664382212801423,0.09462312431073484,0.0009616292996020621,,,,,,,,,,,lstm,True,0.02,0.02,0.08,0.32,0.04,0.08,,,,,,,256.0,1024.0,256.0,16.0,16.0,512.0,,MSELoss,,,,,,,6,Adagrad,,,,,,,False,False,PRUNED
18,18,,2022-08-23 07:03:51.882588,2022-08-23 07:05:22.333608,0 days 00:01:30.451020,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,64.0,128.0,,,,,,HuberLoss,,,,,,,2,Rprop,,,,,,,True,,PRUNED
19,19,,2022-08-23 07:05:22.334210,2022-08-23 07:06:34.151552,0 days 00:01:11.817342,,,,0.020982511820491045,0.01595663992326144,0.0001008643180927855,,,,,,,,,,,fnn,True,,,,,,,9.808532180668328e-05,9.741236965206038e-05,6.006531425974909e-05,3.20773190237387e-06,,,,,,,,,Mish,GaussianNLLLoss,0.06980672501326318,0.05473601324718985,0.052338571081776725,0.19741091069776218,,,4,Adagrad,1024.0,1024.0,16.0,32.0,,,False,True,PRUNED
20,20,,2022-08-23 07:06:34.152195,2022-08-23 07:07:59.954518,0 days 00:01:25.802323,8.959337401363711e-06,0.13250860653293173,0.09831214896408291,,,,,,,,,,,,,,lstm,True,0.64,0.32,,,,,,,,,,,16.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,False,False,PRUNED
21,21,,2022-08-23 07:07:59.955121,2022-08-23 07:09:02.185815,0 days 00:01:02.230694,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,5,Adam,256.0,16.0,256.0,256.0,512.0,,True,,PRUNED
22,22,,2022-08-23 07:09:02.186436,2022-08-23 07:09:49.173534,0 days 00:00:46.987098,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,5,Adam,256.0,512.0,1024.0,1024.0,512.0,,True,,PRUNED
23,23,,2022-08-23 07:09:49.174296,2022-08-23 07:10:05.881123,0 days 00:00:16.706827,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,6,Adam,512.0,1024.0,256.0,256.0,1024.0,512.0,True,,PRUNED
24,24,,2022-08-23 07:10:05.881639,2022-08-23 07:11:03.534954,0 days 00:00:57.653315,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,4,Adam,16.0,16.0,256.0,128.0,,,True,,PRUNED
25,25,,2022-08-23 07:11:03.535651,2022-08-23 07:11:53.607936,0 days 00:00:50.072285,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,ELU,HuberLoss,,,,,,,3,Adagrad,256.0,128.0,128.0,,,,True,,PRUNED
26,26,,2022-08-23 07:11:53.608560,2022-08-23 07:12:56.269210,0 days 00:01:02.660650,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,CELU,MSELoss,,,,,,,5,Adadelta,128.0,512.0,512.0,32.0,256.0,,True,,PRUNED
27,27,,2022-08-23 07:12:56.269862,2022-08-23 07:14:05.733447,0 days 00:01:09.463585,,,,,,,,,,,,,,,,,fnn,True,0.64,0.02,0.16,0.64,,,,,,,,,,,,,,,Mish,MSELoss,,,,,,,4,Rprop,32.0,64.0,16.0,256.0,,,True,False,PRUNED
28,28,,2022-08-23 07:14:05.734115,2022-08-23 07:16:47.487391,0 days 00:02:41.753276,3.948971975820787e-06,0.47667838647018435,0.4986209295248509,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,16.0,64.0,1024.0,64.0,256.0,,GaussianNLLLoss,,,,,,,6,Adadelta,,,,,,,False,,PRUNED
29,29,,2022-08-23 07:16:47.488059,2022-08-23 07:17:51.925307,0 days 00:01:04.437248,,,,,,,,,,,,,,,,,fnn,True,0.04,0.08,0.02,0.16,0.01,,,,,,,,,,,,,,Tanh,HuberLoss,,,,,,,5,Adam,1024.0,32.0,32.0,64.0,512.0,,True,False,PRUNED
30,30,,2022-08-23 07:17:51.925950,2022-08-23 07:18:57.354389,0 days 00:01:05.428439,,,,,,,,,,,,,,,,,fnn,True,,,,,,,2.763716196685115e-06,1.9137608450749037e-05,1.3927577060996146e-06,9.715477774656077e-05,,,,,,,,,GELU,MSELoss,0.12905795298360045,0.1963874442328778,0.060777100141353804,0.05596742509492726,,,4,Adagrad,512.0,256.0,1024.0,1024.0,,,True,True,PRUNED
31,31,,2022-08-23 07:18:57.354962,2022-08-23 07:21:39.305230,0 days 00:02:41.950268,3.911331063153762e-06,0.41165466908986437,0.5067863848125265,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,16.0,64.0,1024.0,64.0,256.0,,GaussianNLLLoss,,,,,,,6,Adadelta,,,,,,,False,,PRUNED
32,32,,2022-08-23 07:21:39.305871,2022-08-23 07:22:43.580688,0 days 00:01:04.274817,,,,,,,,,,,,,,,,,fnn,True,0.04,0.08,0.02,0.16,0.01,,,,,,,,,,,,,,Tanh,HuberLoss,,,,,,,5,Adam,1024.0,32.0,32.0,64.0,512.0,,True,False,PRUNED
33,33,,2022-08-23 07:22:43.581306,2022-08-23 07:23:55.344459,0 days 00:01:11.763153,,,,0.019578408282567072,0.015070494958098818,0.00010190834945052738,,,,,,,,,,,fnn,True,,,,,,,9.244081504186339e-05,9.96329443144624e-05,6.526153264929564e-05,4.308818775351414e-06,,,,,,,,,Mish,GaussianNLLLoss,0.05218577429335274,0.0519997634642652,0.052068774707700084,0.19874557094980633,,,4,Adagrad,1024.0,1024.0,16.0,32.0,,,False,True,PRUNED
34,34,,2022-08-23 07:23:55.345059,2022-08-23 07:25:20.708344,0 days 00:01:25.363285,9.319161958186252e-06,0.0689096780663434,0.06303498884118902,,,,,,,,,,,,,,lstm,True,0.64,0.32,,,,,,,,,,,16.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,False,False,PRUNED
35,35,,2022-08-23 07:25:20.708950,2022-08-23 07:27:06.438665,0 days 00:01:45.729715,8.48721696631393e-06,0.07878831165377684,0.009031655347116863,,,,,,,,,,,,,,lstm,True,0.64,0.32,0.04,,,,,,,,,,16.0,64.0,32.0,,,,,MSELoss,,,,,,,3,Adadelta,,,,,,,False,False,PRUNED
36,36,,2022-08-23 07:27:06.439181,2022-08-23 07:28:08.618063,0 days 00:01:02.178882,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,5,Adam,256.0,16.0,256.0,256.0,64.0,,True,,PRUNED
37,37,,2022-08-23 07:28:08.618676,2022-08-23 07:29:34.567446,0 days 00:01:25.948770,6.672226689723414e-06,0.9719808945842227,0.2640270762608611,,,,,,,,,,,,,,lstm,True,0.64,0.32,,,,,,,,,,,128.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,False,False,PRUNED
38,38,,2022-08-23 07:29:34.568057,2022-08-23 07:31:43.823748,0 days 00:02:09.255691,,,,,,,,,,,,0.5990616481912969,1.1225371510287634,0.006869886786989063,2.8102610857756494e-05,1.8145667375028331,lstm,True,0.08,0.01,0.04,,,,,,,,,,256.0,1024.0,32.0,,,,,MSELoss,,,,,,,3,Rprop,,,,,,,False,False,PRUNED
39,39,,2022-08-23 07:31:43.824402,2022-08-23 07:32:45.186330,0 days 00:01:01.361928,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,5,Adam,256.0,16.0,256.0,256.0,64.0,,True,,PRUNED
40,40,,2022-08-23 07:32:45.186958,2022-08-23 07:33:49.330842,0 days 00:01:04.143884,6.404880515616385e-06,0.9644014375708414,0.29023741508688194,,,,,,,,,,,,,,lstm,True,0.01,,,,,,,,,,,,128.0,,,,,,,MSELoss,,,,,,,1,Adadelta,,,,,,,False,False,PRUNED
41,41,,2022-08-23 07:33:49.331241,2022-08-23 07:34:55.383878,0 days 00:01:06.052637,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,6,Adam,16.0,1024.0,256.0,128.0,1024.0,512.0,True,,PRUNED
42,42,,2022-08-23 07:34:55.384518,2022-08-23 07:35:44.951828,0 days 00:00:49.567310,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,ELU,HuberLoss,,,,,,,3,Adagrad,16.0,128.0,128.0,,,,True,,PRUNED
43,43,,2022-08-23 07:35:44.952470,2022-08-23 07:36:37.637135,0 days 00:00:52.684665,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,ELU,HuberLoss,,,,,,,4,Adagrad,256.0,128.0,128.0,128.0,,,True,,PRUNED
44,44,,2022-08-23 07:36:37.637695,2022-08-23 07:37:33.977313,0 days 00:00:56.339618,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,CELU,MSELoss,,,,,,,5,Adagrad,128.0,512.0,512.0,32.0,256.0,,True,,PRUNED
45,45,,2022-08-23 07:37:33.977939,2022-08-23 07:37:47.473958,0 days 00:00:13.496019,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,CELU,MSELoss,,,,,,,3,Adadelta,256.0,512.0,512.0,,,,True,,PRUNED
46,46,,2022-08-23 07:37:47.474597,2022-08-23 07:38:56.364130,0 days 00:01:08.889533,,,,,,,,,,,,,,,,,fnn,True,0.32,0.02,0.16,0.64,,,,,,,,,,,,,,,Mish,MSELoss,,,,,,,4,Rprop,32.0,64.0,16.0,256.0,,,True,False,PRUNED
47,47,,2022-08-23 07:38:56.364708,2022-08-23 07:40:05.248087,0 days 00:01:08.883379,,,,,,,,,,,,,,,,,fnn,True,0.16,0.02,0.16,0.64,,,,,,,,,,,,,,,SELU,MSELoss,,,,,,,4,Rprop,128.0,64.0,16.0,32.0,,,True,False,PRUNED
48,48,,2022-08-23 07:40:05.248708,2022-08-23 07:43:23.768353,0 days 00:03:18.519645,,,,,,,,,,,,0.40112078363201986,1.1023181687246244,0.013913779195645758,9.622075297475427e-05,7.384548452924143,lstm,True,0.02,0.02,0.16,0.64,0.64,0.01,,,,,,,32.0,16.0,128.0,1024.0,128.0,256.0,,GaussianNLLLoss,,,,,,,6,Rprop,,,,,,,False,False,PRUNED
49,49,,2022-08-23 07:43:23.769065,2022-08-23 07:46:42.945837,0 days 00:03:19.176772,,,,,,,,,,,,0.5141274073978491,1.1833498839876493,0.09520642406747995,5.2280127440293365e-05,23.838541834276334,lstm,True,0.64,0.04,0.32,0.02,0.08,0.02,,,,,,,512.0,16.0,64.0,128.0,64.0,16.0,,GaussianNLLLoss,,,,,,,6,Rprop,,,,,,,False,False,PRUNED
50,50,,2022-08-23 07:46:42.946378,2022-08-23 07:49:44.907271,0 days 00:03:01.960893,,,,,,,0.8536571291428565,0.9521652803835082,4.892126736569014e-09,0.005143968704939196,0.0002051205789791469,,,,,,lstm,True,0.04,0.08,0.02,0.16,0.01,,,,,,,,1024.0,128.0,1024.0,64.0,32.0,,,GaussianNLLLoss,,,,,,,5,Adam,,,,,,,False,False,PRUNED
51,51,,2022-08-23 07:49:44.907881,2022-08-23 07:51:01.412302,0 days 00:01:16.504421,,,,,,,,,,,,,,,,,fnn,True,,,,,,,4.468664534245518e-06,1.802967945966712e-05,4.084559627602386e-06,9.695211668758916e-05,9.147370099888249e-06,,,,,,,,GELU,GaussianNLLLoss,0.12886018366466392,0.19945713917941962,0.1063135451964276,0.055282025213978084,0.05281835492432982,,5,Adagrad,512.0,256.0,1024.0,1024.0,512.0,,True,True,PRUNED
52,52,,2022-08-23 07:51:01.412721,2022-08-23 07:52:18.790949,0 days 00:01:17.378228,,,,,,,,,,,,,,,,,fnn,True,,,,,,,3.535913090691642e-05,3.701485186474315e-05,2.9708574906764285e-05,9.985896528652625e-05,,,,,,,,,GELU,GaussianNLLLoss,0.1250474644727142,0.14854594510108712,0.10478236759231865,0.05285411154892973,,,4,Adam,512.0,32.0,1024.0,1024.0,,,True,True,PRUNED
53,53,,2022-08-23 07:52:18.791696,2022-08-23 07:53:01.911617,0 days 00:00:43.119921,,,,,,,,,,,,,,,,,lstm,True,,,,,,,2.6017058320763775e-05,4.169890435375509e-05,3.3891349367159075e-05,6.425155571537273e-05,8.883260918568851e-06,,32.0,32.0,64.0,32.0,512.0,,,MSELoss,0.15358139080815447,0.14344316548408356,0.15148543210515225,0.1141694218047754,0.1032237368908312,,5,Adagrad,,,,,,,True,True,PRUNED
54,54,,2022-08-23 07:53:01.912248,2022-08-23 07:54:14.745072,0 days 00:01:12.832824,,,,,,,,,,,,,,,,,fnn,True,,,,,,,7.556714006913158e-05,2.1232503053095642e-05,8.848228509013273e-05,7.478790246483157e-05,,,,,,,,,Tanh,HuberLoss,0.09842665367341447,0.16926635111304805,0.08244064456017572,0.08985728200093938,,,4,Adadelta,1024.0,256.0,32.0,64.0,,,True,True,PRUNED
55,55,,2022-08-23 07:54:14.745735,2022-08-23 07:55:11.690919,0 days 00:00:56.945184,,,,,,,0.877757818315656,0.9697536798597955,9.2258013379626e-08,0.09642861057317723,0.000980536509886738,,,,,,lstm,True,,,,,,,6.473958011734749e-05,6.483385748418412e-05,2.986919141403104e-05,3.6036273801856965e-05,9.779676482945155e-05,6.183683489848258e-05,64.0,256.0,256.0,1024.0,256.0,64.0,,GaussianNLLLoss,0.10255693778534043,0.09878390075727064,0.16202361733247633,0.15712323015391047,0.19683580370840098,0.09040641236048402,6,Adam,,,,,,,False,True,PRUNED
56,56,,2022-08-23 07:55:11.691536,2022-08-23 07:56:13.767832,0 days 00:01:02.076296,,,,0.03733847169069923,0.03321052193691741,0.00043344845793642236,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,Softplus,GaussianNLLLoss,,,,,,,5,Adagrad,1024.0,32.0,32.0,16.0,512.0,,False,,PRUNED
57,57,,2022-08-23 07:56:13.768434,2022-08-23 07:57:31.898825,0 days 00:01:18.130391,4.361702037879936e-06,0.42055332743592483,0.7521332683009784,,,,,,,,,,,,,,fnn,True,,,,,,,8.161186018391057e-05,9.78811047715154e-05,7.228193254011567e-05,3.874761932722147e-06,,,,,,,,,Tanh,GaussianNLLLoss,0.051599162397501896,0.058111727782832974,0.08041796576086635,0.19646924332821977,,,4,Adadelta,1024.0,1024.0,64.0,512.0,,,False,True,PRUNED
58,58,,2022-08-23 07:57:31.899497,2022-08-23 07:59:00.841716,0 days 00:01:28.942219,,,,,,,0.9439119460416874,0.9945316329643547,2.232674065157298e-08,0.0040379563401097,0.00012567878585300718,,,,,,lstm,True,0.04,0.08,,,,,,,,,,,16.0,512.0,,,,,,MSELoss,,,,,,,2,Adam,,,,,,,False,False,PRUNED
59,59,,2022-08-23 07:59:00.842406,2022-08-23 07:59:11.988367,0 days 00:00:11.145961,,,,0.04798513240162419,0.04915979698127963,0.00044537984124309437,,,,,,,,,,,fnn,True,0.64,,,,,,,,,,,,,,,,,,Mish,HuberLoss,,,,,,,1,Adagrad,1024.0,,,,,,False,False,PRUNED
60,60,,2022-08-23 07:59:11.988923,2022-08-23 08:00:38.163849,0 days 00:01:26.174926,9.582195548242191e-06,0.03472007737721803,0.04215916510205327,,,,,,,,,,,,,,lstm,True,0.64,0.32,,,,,,,,,,,16.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,False,False,PRUNED
61,61,,2022-08-23 08:00:38.164450,2022-08-23 08:02:23.935294,0 days 00:01:45.770844,7.77920165498726e-06,0.2528786236494902,0.026083954957552145,,,,,,,,,,,,,,lstm,True,0.64,0.32,0.04,,,,,,,,,,16.0,64.0,32.0,,,,,MSELoss,,,,,,,3,Adadelta,,,,,,,False,False,PRUNED
62,62,,2022-08-23 08:02:23.935924,2022-08-23 08:03:50.279498,0 days 00:01:26.343574,7.899197034435085e-06,0.7261350860481944,0.1629802653548153,,,,,,,,,,,,,,lstm,True,0.64,0.32,,,,,,,,,,,128.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,False,False,PRUNED
63,63,,2022-08-23 08:03:50.280120,2022-08-23 08:05:11.424894,0 days 00:01:21.144774,5.7087453618533905e-06,0.8294739378980092,0.2568162509410389,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,128.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,False,,PRUNED
64,64,,2022-08-23 08:05:11.425491,2022-08-23 08:07:21.527686,0 days 00:02:10.102195,,,,,,,,,,,,0.5978442895599567,1.1057591200569437,0.00829788462602,1.0690411542140123e-05,2.2623455101029255,lstm,True,0.08,0.01,0.04,,,,,,,,,,256.0,1024.0,32.0,,,,,MSELoss,,,,,,,3,Rprop,,,,,,,False,False,PRUNED
65,65,,2022-08-23 08:07:21.528387,2022-08-23 08:08:15.071455,0 days 00:00:53.543068,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,CELU,MSELoss,,,,,,,4,Adagrad,32.0,512.0,512.0,128.0,,,True,,PRUNED
66,66,,2022-08-23 08:08:15.072147,2022-08-23 08:09:21.537546,0 days 00:01:06.465399,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SELU,MSELoss,,,,,,,4,Rprop,128.0,64.0,512.0,32.0,,,True,,PRUNED
67,67,,2022-08-23 08:09:21.538231,2022-08-23 08:10:28.252640,0 days 00:01:06.714409,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,CELU,MSELoss,,,,,,,4,Rprop,128.0,512.0,16.0,32.0,,,True,,PRUNED
68,68,,2022-08-23 08:10:28.253317,2022-08-23 08:11:30.444958,0 days 00:01:02.191641,,,,,,,,,,,,,,,,,fnn,True,0.32,0.02,0.16,,,,,,,,,,,,,,,,SELU,MSELoss,,,,,,,3,Rprop,64.0,64.0,16.0,,,,True,False,PRUNED
69,69,,2022-08-23 08:11:30.445536,2022-08-23 08:14:49.233747,0 days 00:03:18.788211,,,,,,,,,,,,,,,,,lstm,True,0.16,0.02,0.16,0.64,0.08,0.01,,,,,,,512.0,16.0,128.0,128.0,128.0,16.0,,GaussianNLLLoss,,,,,,,6,Rprop,,,,,,,True,False,PRUNED
70,70,,2022-08-23 08:14:49.234449,2022-08-23 08:18:26.707893,0 days 00:03:37.473444,,,,,,,,,,,,0.47829892525636186,1.1828706477024653,0.09751501320786056,9.930950192927715e-05,18.22456376445675,lstm,True,0.02,0.04,0.32,0.02,0.64,0.02,,,,,,,1024.0,128.0,1024.0,64.0,32.0,32.0,,GaussianNLLLoss,,,,,,,6,Rprop,,,,,,,False,False,PRUNED
71,71,,2022-08-23 08:18:26.708525,2022-08-23 08:21:44.617781,0 days 00:03:17.909256,,,,,,,,,,,,0.5022554916623888,1.181602166881581,0.03443213984307835,5.5211091210881984e-05,19.417174124676926,lstm,True,0.02,0.02,0.16,0.64,0.64,0.02,,,,,,,1024.0,128.0,128.0,128.0,128.0,16.0,,GaussianNLLLoss,,,,,,,6,Rprop,,,,,,,False,False,PRUNED
