,type,True Reward,Realized Reward,Optimal Reward
1,single,-0.1504812992612301,-5.90268246768515,9.375420994071247
2,single,-0.17357814048193243,-4.500451250089023,9.447663473536824
3,single,-0.13523395543263675,-4.76186562085815,9.325179296374785
4,single,-0.14157843696582423,-4.239766742454396,9.434071755807551
5,single,-0.1348593137420721,-3.9393113290717467,9.383067750005115
6,single,-0.1451678943097576,-3.5772186795031082,9.421467995684841
7,single,-0.09213967360545453,-2.6267645275899287,9.51247608017579
8,single,-0.016296064154151524,-1.807571657099777,9.025456321344635
9,single,-0.006074787873356635,-1.9457785262688811,8.774606424873367
10,single,0.009165220456794354,-0.7796754642502666,9.336401642228417
11,single,0.0026155559194798172,-0.22852961983158304,9.282255044116681
12,single,0.024336248620986323,-0.4099851219270655,9.160618880114196
13,single,0.021536706724562205,0.19247651662558052,9.329555724740715
14,single,0.0702333864193983,-0.4047111056094732,8.907522567614738
15,single,0.06007325289446,-0.5390634015578135,9.347178530106767
16,single,0.061805901280964096,0.22998543454903025,8.957874661616389
17,single,0.03951658808864049,0.2061556742606379,8.818280513278657
18,single,-0.005210543708204438,0.010675548204878454,9.059258070185283
19,single,-0.0072282298138007794,-0.029626059268289512,8.79042012011109
20,single,0.017483451541028816,-0.27846691838900095,8.535901658116838
21,single,0.013090686405478169,0.11524586497042244,8.903078119038767
22,single,-0.024649633810185534,0.21726035796314397,8.782050820255375
23,single,-0.0006959003198910851,0.21453143748392567,8.899200621461464
24,single,0.003431565100185288,-0.3002968247468105,8.217015630487547
25,single,-0.04652975988388759,-0.3340323757615466,8.605096170199209
26,single,-0.056568845727896055,0.5630408660618152,8.752421554129924
27,single,-0.0662723618003692,0.7161224104306978,8.328753447460784
28,single,-0.07483536071623731,1.0751483273134155,8.58984961947711
29,single,-0.11975433896037126,0.7675053166334465,8.46248661119246
30,single,-0.11676049011071005,1.430392457575242,8.417660807458875
31,single,-0.11418838692239412,0.4362820102046512,8.36190216925575
32,single,-0.11519807538535813,0.4978731646011514,8.160136599050075
33,single,-0.09591596379058756,1.2749062678277467,8.501840704251887
