,type,True Reward,Realized Reward,Optimal Reward
1,multi,-0.1504812992612301,-2.9975457620215766,8.277309521719175
2,multi,-0.17357814048193243,-2.6258452071440366,8.066812063145584
3,multi,-0.13523395543263675,-2.47382242051602,7.9950172386512754
4,multi,-0.14157843696582423,-1.6201537229374514,7.971078451947433
5,multi,-0.1348593137420721,-1.9249916658415116,7.948760895632832
6,multi,-0.1451678943097576,-1.8324130474020999,7.9087610153093255
7,multi,-0.09213967360545453,-0.32754599388680244,8.02959303217338
8,multi,-0.016296064154151524,-0.30052492185524243,7.859660251122481
9,multi,-0.006074787873356635,0.1910440293990977,7.800299242425433
10,multi,0.009165220456794354,1.0745657745803694,7.945067178883808
11,multi,0.0026155559194798172,1.4756993189373377,7.821822664769254
12,multi,0.024336248620986323,1.709617689167764,7.78035611270967
13,multi,0.021536706724562205,1.379387134691892,7.7465852198888685
14,multi,0.0702333864193983,1.6000882653243127,7.587552622747905
15,multi,0.06007325289446,0.8715000929477952,7.728413630971881
16,multi,0.061805901280964096,1.9453064609631272,7.674688388845311
17,multi,0.03951658808864049,1.871471770208589,7.69511443318814
18,multi,-0.005210543708204438,2.258743313316857,7.4698197441212955
19,multi,-0.0072282298138007794,2.015127107691161,7.501929460031022
20,multi,0.017483451541028816,2.411601798686468,7.467833787810303
21,multi,0.013090686405478169,2.4828136235267007,7.489331309235094
22,multi,-0.024649633810185534,2.0328970805203217,7.401314687015262
23,multi,-0.0006959003198910851,2.658034338593599,7.448432572485277
24,multi,0.003431565100185288,2.3467611111242697,7.359789914318365
25,multi,-0.04652975988388759,2.7885456049625397,7.280300482708341
26,multi,-0.056568845727896055,2.387978038393733,7.315842377428744
27,multi,-0.0662723618003692,2.4455657892011313,7.290392988770272
28,multi,-0.07483536071623731,2.2723999031297875,7.147893166081441
29,multi,-0.11975433896037126,2.3720417265560165,7.0898198916107384
30,multi,-0.11676049011071005,2.663879734710629,7.061674736897283
31,multi,-0.11418838692239412,2.598751316914768,7.044902025414193
32,multi,-0.11519807538535813,2.9452002932838024,7.036032368276766
33,multi,-0.09591596379058756,2.5460157477477106,7.018382320826731
34,multi,-0.108972659297529,2.8086031302858507,7.024599944432792
35,multi,-0.13668733464945496,2.5249575263587545,6.959800028836167
36,multi,-0.19334079836670634,2.124139639024585,6.88769807810947
37,multi,-0.1604245048958654,1.9063210340647117,6.794343374511752
38,multi,-0.15855261391673836,2.5253414159097125,6.743153535567963
39,multi,-0.14967299736503897,2.4584745041216336,6.858789973162732
40,multi,-0.18483725693104075,2.2821166312543677,6.74469283169369
41,multi,-0.19577664078384965,2.325088458119026,6.7363357802234365
42,multi,-0.22537625642086948,2.0155123371482224,6.6057861039454435
43,multi,-0.18400071432066462,2.1613304656629384,6.571756521313658
44,multi,-0.20512738519356666,2.337179996508354,6.509124116029436
45,multi,-0.1429938127480006,2.1527835777469377,6.492612633199996
46,multi,-0.16760849956981122,2.3379797366195576,6.404643924056887
47,multi,-0.16427523408251224,1.9222290036439866,6.315576118667847
48,multi,-0.1832139899410842,2.1480217527433885,6.260972732871806
49,multi,-0.16254053992263376,2.6101644328073164,6.219649940453353
50,multi,-0.21766481213105246,2.227659636103996,6.159898314700575
51,multi,-0.21624140184167584,2.171539067582004,6.168213774323291
52,multi,-0.21162930072532873,2.549859061468454,6.064703366039352
53,multi,-0.19463258114417228,2.775896043759456,6.053185970230649
54,multi,-0.17352941947468384,2.517321932190929,6.023548079128746
55,multi,-0.14346600296653758,2.5853482356120994,6.024515508910328
56,multi,-0.14374951109323936,2.423262365441063,5.9365708752721105
57,multi,-0.1466357939115462,2.403416252791661,5.98628027538172
58,multi,-0.12372920104265604,2.1657006532383134,5.817350968322991
59,multi,-0.12423869034145917,2.4595287217972364,5.7786773405794225
60,multi,-0.12637239861173158,2.3638845221398395,5.6917243611603325
61,multi,-0.09393610808126845,2.2293185777534807,5.674226688944575
62,multi,-0.062475425332213876,2.247382265450975,5.635562745264823
63,multi,-0.076645173846215,2.4399237652641483,5.525031967111419
64,multi,-0.07832542627548728,2.6433017434456634,5.491104260626944
65,multi,-0.13056017627936403,2.6185730933566305,5.401840546819337
66,multi,-0.13457831453555538,2.662686313826277,5.363153378323229
67,multi,-0.15229043134003145,2.6411374655365787,5.3542431519197615
68,multi,-0.18257530180222709,2.6343867379575956,5.2891257618604275
69,multi,-0.1428049443169886,2.5774899921738577,5.249398913257647
70,multi,-0.17718680044516733,2.443729175682117,5.268215765378351
71,multi,-0.2320631957118201,2.5745184927817943,5.217912352737148
72,multi,-0.2150229928023759,2.64955312304971,5.098951635818925
73,multi,-0.2039725837756221,2.6142464977618314,5.12020653240258
74,multi,-0.18982189402555422,2.366025489978883,5.0922391816940085
75,multi,-0.21026492039243289,2.793507826813426,4.970803324519709
76,multi,-0.20332042293070765,2.4015934799893612,4.934029836804395
77,multi,-0.22568389114773524,2.457486109744581,4.947499278630067
78,multi,-0.23526814035030186,2.4842054101183186,4.911281012154254
79,multi,-0.25587880894994114,2.4090545500296363,4.785408436500653
80,multi,-0.2784357602093279,2.4676888714289316,4.651411009418281
81,multi,-0.2367707339449826,2.2757392160439647,4.643962440430655
82,multi,-0.23469876224395125,2.5888485853386767,4.556738970474095
83,multi,-0.19463258114417192,2.305555898888365,4.518774963925059
84,multi,-0.15634919774667133,2.371680997316871,4.466859973263995
85,multi,-0.1749420600701801,2.228380136135099,4.388173501105026
