,train_r2,train_naive_r2,train_pearson_corr,val_r2,val_naive_r2,val_pearson_corr
0,-0.16756224632263184,-0.1675550937652588,-0.00929111335426569,-0.02235722541809082,-0.020123958587646484,-0.00484374538064003
1,-0.008565306663513184,-0.008559226989746094,-0.012095766142010689,-0.004630684852600098,-0.0024361610412597656,-0.0032286171335726976
2,-0.0036545991897583008,-0.003648519515991211,-0.020573535934090614,-0.004237532615661621,-0.0020438432693481445,-0.024108275771141052
3,-0.0030924081802368164,-0.0030863285064697266,-0.034385502338409424,-0.003924727439880371,-0.0017317533493041992,-0.0038661910220980644
4,-0.002613067626953125,-0.002606987953186035,-0.02816067636013031,-0.004656076431274414,-0.0024614334106445312,-0.0104761254042387
5,-0.002486586570739746,-0.0024805068969726562,-0.030142150819301605,-0.004256010055541992,-0.002062201499938965,-0.024657974019646645
6,-0.0024650096893310547,-0.002458930015563965,-0.030844615772366524,-0.004063963890075684,-0.0018706321716308594,-0.03200424462556839
